source_url,question,answer
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What was the first multidisciplinary university established under the Democratic Republic of Vietnam?,Vietnam National University in 1945
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What institution was established in Viet Bac in 1951?,Basic Science School
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Which university was established in 1956 as the first basic science university in Northern Vietnam?,Hanoi General University
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Which government decision established Hanoi General University?,Decision No. 2183/TC
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Which year marked the founding of Hanoi University of Foreign Language Teachers?,1967
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What important Party resolution was issued in 1993 regarding national key universities?,Building several national key universities
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,When was Vietnam National University Hanoi officially established?,1993
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What was the mission of VNU when it was established in 1993?,To become a leading national university in education and science
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Which three major universities were reorganized to establish VNU in 1993?,Hanoi General University; Hanoi University of Education No. 1; Hanoi University of Foreign Languages Education
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Which decree officially established VNU?,Decree 97/CP
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Who signed Decree 97/CP establishing VNU?,Prime Minister Vo Van Kiet
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,When was the organizational regulation of VNU officially issued?,5 September 1994
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Which Prime Minister signed the organizational regulation of VNU?,Prime Minister Vo Van Kiet
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,When was VNU University of Social Sciences and Humanities officially established as an independent university?,September 1995
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What university was the predecessor of VNU University of Social Sciences and Humanities?,Hanoi General University
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What was established on 10 October 1945 by President Ho Chi Minh?,College of Literature
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What is the English name of USSH?,VNU University of Social Sciences and Humanities
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What is the abbreviation of VNU University of Social Sciences and Humanities?,VNU-USSH
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Where is USSH located?,336 Nguyen Trai Street; Thanh Xuan District; Hanoi
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,Approximately how many universities and research organizations cooperate with USSH?,More than 200 institutions
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,From how many countries does USSH have international cooperation partners?,30 countries
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What major fields does USSH specialize in?,Social sciences and humanities
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What is one long-term goal of USSH?,Becoming an advanced research university in the region and the world
https://ussh.vnu.edu.vn/vi/news/tin-tuc-ve-dhqghn/lich-su-hinh-thanh-va-phat-trien-dai-hoc-quoc-gia-ha-noi-22318.html,What kind of university is VNU?,A multidisciplinary and multi-field national university
https://uet.vnu.edu.vn/dao-tao/,How many undergraduate majors does UET currently offer?,20 undergraduate majors
https://uet.vnu.edu.vn/dao-tao/,How many undergraduate training programs does UET currently offer?,22 bachelor and engineering training programs
https://uet.vnu.edu.vn/dao-tao/,What undergraduate majors are offered at UET?,Information Technology; Computer Science; Computer Engineering; Artificial Intelligence; Data Science; Robotics Engineering; Aerospace Engineering; Electronics and Telecommunications Engineering Technology; Control and Automation Engineering; Engineering Physics; Energy Engineering; Construction Engineering; Agricultural Technology
https://uet.vnu.edu.vn/dao-tao/,Which undergraduate majors at UET award a Bachelor degree?,Information Technology; Computer Science; Artificial Intelligence; Data Science; Electronics and Telecommunications Engineering Technology; Engineering Physics; Industrial Design and Graphics
https://uet.vnu.edu.vn/dao-tao/,Which undergraduate majors at UET award an Engineer degree?,Computer Engineering; Computer Networks and Data Communications; Robotics Engineering; Aerospace Engineering; Energy Engineering; Control and Automation Engineering; Construction Engineering
https://uet.vnu.edu.vn/dao-tao/,What is the standard training duration of bachelor programs at UET?,4 years
https://uet.vnu.edu.vn/dao-tao/,What is the standard training duration of engineer programs at UET?,4.5 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration for undergraduate students at UET?,8 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Information Technology undergraduate program?,Bachelor degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Information Technology undergraduate program?,4 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Information Technology undergraduate program?,8 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Computer Science undergraduate program?,Bachelor degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Computer Science undergraduate program?,4 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Computer Science undergraduate program?,8 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Computer Engineering undergraduate program?,Engineer degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Computer Engineering undergraduate program?,4.5 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Computer Engineering undergraduate program?,9 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Artificial Intelligence undergraduate program?,Bachelor degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Artificial Intelligence undergraduate program?,4 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Artificial Intelligence undergraduate program?,8 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Data Science undergraduate program?,Bachelor degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Data Science undergraduate program?,4 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Data Science undergraduate program?,8 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Computer Networks and Data Communications undergraduate program?,Engineer degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Computer Networks and Data Communications undergraduate program?,4.5 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Computer Networks and Data Communications undergraduate program?,9 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Robotics Engineering undergraduate program?,Engineer degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Robotics Engineering undergraduate program?,4.5 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Robotics Engineering undergraduate program?,9 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Aerospace Engineering undergraduate program?,Engineer degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Aerospace Engineering undergraduate program?,4.5 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Aerospace Engineering undergraduate program?,9 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Electronics and Telecommunications Engineering Technology undergraduate program?,Bachelor degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Electronics and Telecommunications Engineering Technology undergraduate program?,4 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Electronics and Telecommunications Engineering Technology undergraduate program?,8 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Control and Automation Engineering undergraduate program?,Engineer degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Control and Automation Engineering undergraduate program?,4.5 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Control and Automation Engineering undergraduate program?,9 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Engineering Physics undergraduate program?,Bachelor degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Engineering Physics undergraduate program?,4 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Engineering Physics undergraduate program?,8 years
https://uet.vnu.edu.vn/dao-tao/,What degree is awarded for the Energy Engineering undergraduate program?,Engineer degree
https://uet.vnu.edu.vn/dao-tao/,What is the standard duration of the Energy Engineering undergraduate program?,4.5 years
https://uet.vnu.edu.vn/dao-tao/,What is the maximum study duration of the Energy Engineering undergraduate program?,9 years
https://ulis.vnu.edu.vn/pho-bien-nhung-diem-moi-trong-quy-che-dao-tao-dai-hoc-theo-quyet-dinh-so-3626-qd-dhqghn-cho-can-bo-va-sinh-vien/,What is the maximum study duration for full-time undergraduate students at ULIS under the new regulation?,8 years
https://ulis.vnu.edu.vn/tot-nghiep-dai-hoc-trong-3-nam-tang-toc-de-but-pha-but-pha-danh-cho-nguoi-tre-ban-linh/,What is the standard duration of undergraduate programs in the ULIS BRT model?,4 years
https://ulis.vnu.edu.vn/gioi-thieu/,What degree is awarded for language teacher education programs at ULIS?,Bachelor degree
https://ulis.vnu.edu.vn/gioi-thieu/,What degree is awarded for foreign language programs at ULIS?,Bachelor degree
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS program specializes in Business English?,Business English
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS program focuses on Korean language?,Korean Language
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS program specializes in Japanese language?,Japanese Language
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS program focuses on Chinese language?,Chinese Language
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS program specializes in Arabic language?,Arabic Language
https://ulis.vnu.edu.vn/tbtsdh2025/,Which ULIS program focuses on Translation and Interpretation?,Translation and Interpretation
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,How many undergraduate programs does USSH offer?,More than 30 undergraduate programs
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,Which USSH undergraduate program specializes in Journalism?,Journalism
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,Which USSH undergraduate program focuses on Psychology?,Psychology
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,Which USSH undergraduate program specializes in Korean Studies?,Korean Studies
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,Which USSH undergraduate program focuses on International Studies?,International Studies
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,Which USSH undergraduate program specializes in Multimedia Communications?,Multimedia Communications
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,Which USSH undergraduate program focuses on Tourism Management?,Tourism and Travel Service Management
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,Which USSH undergraduate program specializes in Public Relations?,Public Relations
https://ussh.vnu.edu.vn/vi/dao-tao/chuong-trinh-dao-tao-chuan/chuong-trinh-dao-tao-chuan-20666.html,What is the standard duration of undergraduate programs at USSH?,4 years
https://hcmussh.edu.vn/static/document/15808.pdf,What is the maximum extended study duration for a 4-year undergraduate program?,6 years
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Information Technology program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Computer Science program at UET in 2024-2025?,40 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Artificial Intelligence program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Data Science program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Information Systems program at UET in 2024-2025?,40 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Software Engineering program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Computer Engineering program at UET in 2024-2025?,40 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Computer Networks and Data Communications program at UET in 2024-2025?,40 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Robotics Engineering program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Aerospace Engineering program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Electronics and Telecommunications Engineering Technology program at UET in 2024-2025?,40 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Control and Automation Engineering program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Engineering Physics program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Energy Engineering program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Construction Engineering program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://uet.vnu.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,What was the tuition fee for the Agricultural Technology program at UET in 2024-2025?,32 million VND per academic year in 2024-2025
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the English Language program at ULIS in 2026?,42 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the French Language program at ULIS in 2026?,42 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the Chinese Language program at ULIS in 2026?,42 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the German Language program at ULIS in 2026?,42 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the Japanese Language program at ULIS in 2026?,42 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the Korean Language program at ULIS in 2026?,42 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the Russian Language program at ULIS in 2026?,31 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the Arabic Language program at ULIS in 2026?,31 million VND per student per year in 2026
https://ulis.vnu.edu.vn/tbtsdh26/,What was the tuition fee for the Vietnamese Language and Vietnamese Culture program at ULIS in 2026?,31 million VND per student per year in 2026
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Journalism program at USSH in 2023-2024?,35 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Hotel Management program at USSH in 2023-2024?,35 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Public Relations program at USSH in 2023-2024?,35 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Psychology program at USSH in 2023-2024?,30 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the International Studies program at USSH in 2023-2024?,30 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Office Administration program at USSH in 2023-2024?,30 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Management Science program at USSH in 2023-2024?,25 million VND per year in 2023-2024
https://ussh.vnu.edu.vn/vi/news/dao-tao/nam-2023-truong-dai-hoc-khoa-hoc-xa-hoi-va-nhan-tuyen-sinh-2000-chi-tieu-dai-hoc-chinh-quy-cho-27-nganh-dao-tao-21962.html,What was the tuition fee for the Oriental Studies program at USSH in 2023-2024?,25 million VND per year in 2023-2024
